,combination,f1_deceased,recall_deceased,overall_accuracy,overal_recall
0,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 100}",0.40194827671484645,0.25838571428571433,0.840637340982805,0.840637340982805
1,"{'n_estimators': 40, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 90}",0.5245976125866405,0.3858857142857143,0.8580049160215506,0.8580049160215506
2,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 90}",0.40069988361656056,0.25748571428571426,0.8404126181871522,0.8404126181871522
3,"{'n_estimators': 40, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 70}",0.5189672818938521,0.3804857142857143,0.856836897382942,0.856836897382942
4,"{'n_estimators': 70, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 80}",0.44987156701545017,0.30582857142857145,0.8469129812393165,0.8469129812393165
5,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 60}",0.5000043007479417,0.3543428571428572,0.8541596296107296,0.8541596296107296
6,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 80}",0.4103190889281253,0.2678857142857143,0.840207325605461,0.840207325605461
7,"{'n_estimators': 90, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 60}",0.40248960391094696,0.25850000000000006,0.8404292545020648,0.8404292545020648
8,"{'n_estimators': 40, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 80}",0.4033600347292177,0.26284285714285716,0.8374939953068745,0.8374939953068745
9,"{'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 100}",0.4593761775959194,0.32208571428571425,0.8452123291232045,0.8452123291232045
10,"{'n_estimators': 40, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 50}",0.38425356447361125,0.24538571428571426,0.8330383456725358,0.8330383456725358
11,"{'n_estimators': 60, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 80}",0.5099412786558748,0.36554285714285717,0.8566426873008316,0.8566426873008316
12,"{'n_estimators': 90, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 50}",0.45220945723403305,0.3036714285714286,0.8477591601491736,0.8477591601491736
13,"{'n_estimators': 60, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 70}",0.47394776641779063,0.33094285714285715,0.8495292143479057,0.8495292143479057
14,"{'n_estimators': 90, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 50}",0.3931183018582942,0.2503142857142857,0.8386564369618335,0.8386564369618335
15,"{'n_estimators': 60, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 60}",0.48793369396504466,0.33977142857142856,0.8530332422077453,0.8530332422077453
16,"{'n_estimators': 110, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 100}",0.5056453472288627,0.3634142857142857,0.8560600859186842,0.8560600859186842
17,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 80}",0.400929309187436,0.2576857142857143,0.8404237189673829,0.8404237189673829
18,"{'n_estimators': 110, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 80}",0.45883297066748846,0.31292857142857144,0.848635859007862,0.848635859007862
19,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 50}",0.46050758451991525,0.3130857142857143,0.8489549292759071,0.8489549292759071
