,combination,f1_deceased,recall_deceased,overall_accuracy,overall_recall
0,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.3338123310152011,0.20784000000000002,0.8976831268943899,0.8976831268943899
1,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.3341929155935783,0.2079466666666667,0.8978508394777126,0.8978508394777126
2,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.3340418072953668,0.20773333333333333,0.8980734398155771,0.8980734398155771
3,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.334523380354649,0.20805333333333334,0.8981649194064804,0.8981649194064804
4,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.3345998856611363,0.20810666666666666,0.8981679687261771,0.8981679687261771
5,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.3761765183468894,0.24357333333333334,0.9003939721048234,0.9003939721048234
6,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.38259492667439227,0.24888,0.9011441047502302,0.9011441047502302
7,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.38716621488615793,0.25253333333333333,0.9017265248123144,0.9017265248123144
8,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.39006357620025894,0.25477333333333335,0.902058900659263,0.902058900659263
9,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.3925094033065331,0.25672,0.9024492135804502,0.9024492135804502
10,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.3768983521714315,0.24450666666666665,0.9002933445548299,0.9002933445548299
11,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.3853587569576488,0.2518666666666667,0.9010373785608431,0.9010373785608431
12,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.390082400818547,0.25512,0.9019735197077532,0.9019735197077532
13,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.39442640141547275,0.25853333333333334,0.9025894822865018,0.9025894822865018
14,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.39742606281890547,0.2610133333333334,0.9029035622152698,0.9029035622152698
15,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.37930808488549367,0.2469066666666667,0.9003634789078556,0.9003634789078556
16,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.38780291853024,0.2541866666666666,0.9011380061108367,0.9011380061108367
17,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.39206326489626253,0.2577066666666667,0.9018302016820048,0.9018302016820048
18,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.40243831799469404,0.26712,0.9026169261637729,0.9026169261637729
19,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4059185653548809,0.27,0.9030194363637473,0.9030194363637473
20,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.379908081354344,0.24669333333333335,0.9014002476047595,0.9014002476047595
21,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.3822743606229608,0.24850666666666665,0.9017936098456434,0.9017936098456434
22,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.3958372486987411,0.2600266666666667,0.902668764598618,0.902668764598618
23,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.3956444369814282,0.2598666666666667,0.9026901098364956,0.9026901098364956
24,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 6, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.39554437281366034,0.25989333333333337,0.9026352220819535,0.9026352220819535
25,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.40862668117722495,0.2725333333333333,0.9034493904409926,0.9034493904409926
26,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.41700503936977923,0.28048,0.904150733971251,0.904150733971251
27,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.42263817528212505,0.28536,0.9046874142378836,0.9046874142378836
28,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.42600901423312765,0.2881066666666667,0.9051448121923998,0.9051448121923998
29,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 8, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4293740819932708,0.29106666666666664,0.9054802373590451,0.9054802373590451
30,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.4172626104393021,0.2814666666666667,0.9038183581243024,0.9038183581243024
31,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4253814972946699,0.2885333333333333,0.9047849924681803,0.9047849924681803
32,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.4306009909395461,0.29314666666666667,0.9054040043666257,0.9054040043666257
33,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 40, 'objective': 'multiclass'}",0.43457265448894705,0.29616,0.9059772764696197,0.9059772764696197
34,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 10, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 45, 'objective': 'multiclass'}",0.4351722064082237,0.29591999999999996,0.9062608632014199,0.9062608632014199
35,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 25, 'objective': 'multiclass'}",0.4193146991009926,0.2836,0.9039494788712639,0.9039494788712639
36,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 30, 'objective': 'multiclass'}",0.4273862710490097,0.29048,0.9049222118545354,0.9049222118545354
37,"{'boosting_type': 'gbdt', 'learning_rate': 0.03, 'max_depth': 12, 'metric': 'multi_logloss', 'num_class': 4, 'num_leaves': 35, 'objective': 'multiclass'}",0.43278275539939753,0.29519999999999996,0.9055564703514646,0.9055564703514646
